# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.937204
# Diagonal elements of inverse mass matrix:
# 0.206678
-17.8357,0.853392,0.937204,1,1,0,17.9845,0.185315
-16.0374,1,0.937204,1,1,0,17.5157,0.260036
-15.5616,1,0.937204,1,1,0,15.9922,0.292522
-14.9268,0.995273,0.937204,1,3,0,15.4806,0.378523
-15.3396,0.879645,0.937204,1,3,0,15.6499,0.510669
-16.0267,0.843185,0.937204,1,1,0,16.0456,0.569725
-16.3276,0.929387,0.937204,1,1,0,16.5429,0.589279
-16.4682,0.966695,0.937204,1,1,0,16.7901,0.597642
-15.1579,1,0.937204,2,3,0,16.1743,0.333428
-15.5145,0.925579,0.937204,1,1,0,15.5223,0.296402
-15.444,0.864463,0.937204,1,3,0,16.8979,0.521734
-15.0825,1,0.937204,1,1,0,15.3587,0.476002
-15.6282,0.957586,0.937204,2,3,0,15.6284,0.538932
-14.9306,0.957717,0.937204,1,3,0,15.9014,0.377245
-16.1798,0.824412,0.937204,2,3,0,16.5098,0.251986
-15.5122,1,0.937204,1,1,0,16.0678,0.296595
-15.5207,0.849476,0.937204,1,3,0,17.0316,0.529202
-14.9029,0.998776,0.937204,1,3,0,15.4385,0.429776
-15.4156,0.857208,0.937204,1,3,0,15.7204,0.305126
-15.2004,1,0.937204,1,1,0,15.3977,0.327964
-15.2004,0.930153,0.937204,1,1,0,15.479,0.327964
-14.8944,0.998191,0.937204,1,3,0,15.1701,0.393706
-14.8919,0.997723,0.937204,1,3,0,14.9157,0.422693
-15.124,0.950901,0.937204,1,3,0,15.1492,0.482711
-15.5681,0.895149,0.937204,1,1,0,15.5736,0.533587
-15.9153,0.807486,0.937204,2,3,0,17.5584,0.561781
-15.4835,1,0.937204,1,1,0,15.8781,0.525642
-15.0472,1,0.937204,1,1,0,15.375,0.469742
-16.2745,0.757917,0.937204,2,3,0,17.1982,0.586004
-15.4127,0.800261,0.937204,1,3,0,17.9624,0.305394
-15.7031,0.941494,0.937204,1,1,0,15.7572,0.281729
-15.055,0.995271,0.937204,1,3,0,15.5695,0.348888
-15.2448,0.904589,0.937204,1,3,0,15.7811,0.499441
-14.8855,0.996207,0.937204,2,3,0,15.2706,0.415648
-14.8847,0.991615,0.937204,2,3,0,14.939,0.404172
-15.0868,0.968117,0.937204,2,3,0,15.1353,0.343683
-14.9472,0.976223,0.937204,1,3,0,15.3002,0.446786
-14.9218,1,0.937204,2,3,0,14.9455,0.438248
-14.9152,0.909485,0.937204,2,3,0,15.5358,0.382923
-14.9046,0.817941,0.937204,2,3,0,16.2349,0.387701
-15.1366,0.956463,0.937204,2,3,0,15.2536,0.33632
-14.8906,0.990594,0.937204,1,3,0,15.2061,0.421562
-14.8883,0.960526,0.937204,2,3,0,15.1456,0.398907
-14.8856,0.99926,0.937204,1,3,0,14.8944,0.415749
-15.2707,0.936469,0.937204,2,3,0,15.3917,0.502649
-15.1921,1,0.937204,2,3,0,15.3102,0.492551
-16.6767,0.822365,0.937204,2,7,0,16.692,0.609306
-16.6074,1,0.937204,1,1,0,17.0662,0.605516
-16.1685,1,0.937204,1,1,0,16.7228,0.579251
-16.094,1,0.937204,1,1,0,16.4317,0.574318
-14.8845,0.988099,0.937204,1,3,0,16.1456,0.404681
-15.0286,0.966683,0.937204,1,3,0,15.0598,0.353612
-16.1021,0.710855,0.937204,1,3,0,17.0092,0.574863
-17.1805,0.772519,0.937204,1,1,0,17.2908,0.634589
-16.2536,1,0.937204,1,1,0,17.119,0.584694
-16.7062,0.896997,0.937204,1,1,0,16.9442,0.610892
-15.9547,1,0.937204,2,3,0,16.6479,0.564643
-15.9547,0.834559,0.937204,1,1,0,16.6447,0.564643
-14.9749,1,0.937204,1,3,0,15.7592,0.454291
-15.106,0.967969,0.937204,1,1,0,15.1101,0.479874
-15.3581,0.979678,0.937204,2,3,0,15.3738,0.512716
-15.123,1,0.937204,1,1,0,15.3199,0.482556
-14.8953,0.999657,0.937204,1,3,0,15.087,0.425206
-15.0627,0.979114,0.937204,2,3,0,15.0687,0.347583
-15.2383,0.961557,0.937204,1,1,0,15.2491,0.323435
-14.8864,0.999444,0.937204,2,3,0,15.2381,0.401196
-15.3869,0.925009,0.937204,2,3,0,15.4943,0.30783
-15.1604,0.928869,0.937204,1,3,0,16.1683,0.488116
-15.054,1,0.937204,2,3,0,15.1558,0.470985
-14.8836,0.998707,0.937204,1,3,0,15.0607,0.408129
-14.8841,0.916631,0.937204,2,3,0,15.4358,0.412391
-15.6791,0.889528,0.937204,2,3,0,15.7787,0.283475
-15.6867,0.998506,0.937204,2,7,0,15.6899,0.543922
-15.4004,1,0.937204,1,1,0,15.6879,0.517246
-14.9295,1,0.937204,2,3,0,15.3052,0.377618
-15.0334,0.976122,0.937204,1,1,0,15.0335,0.352717
-15.5001,0.839739,0.937204,1,3,0,16.1353,0.527239
-15.0615,0.918874,0.937204,1,3,0,16.1048,0.347779
-14.9401,1,0.937204,1,1,0,15.0336,0.374201
-15.0709,0.970199,0.937204,1,1,0,15.071,0.346221
-14.9624,0.934934,0.937204,2,3,0,15.6024,0.451068
-15.0197,0.985907,0.937204,1,1,0,15.0286,0.464363
-15.0197,0.402193,0.937204,1,3,0,18.5748,0.464363
-14.9913,0.791041,0.937204,2,3,0,16.5801,0.361142
-14.8867,0.999489,0.937204,1,3,0,14.9808,0.40079
-14.8841,0.985412,0.937204,2,3,0,14.9792,0.412467
-14.8837,0.983233,0.937204,2,3,0,14.9898,0.407647
-15.4675,0.864465,0.937204,1,3,0,15.6268,0.524075
-15.4883,0.994837,0.937204,1,1,0,15.6284,0.526107
-17.1644,0.663227,0.937204,1,1,0,17.1645,0.633836
-16.242,1,0.937204,2,3,0,17.1022,0.583962
-17.2866,0.780088,0.937204,1,1,0,17.4273,0.639479
-15.2261,0.86783,0.937204,2,3,0,18.7832,0.32486
-16.1241,0.797476,0.937204,2,3,0,17.4942,0.576331
-14.8963,0.972108,0.937204,1,3,0,16.2908,0.392438
-15.2444,0.906521,0.937204,1,3,0,15.4225,0.499388
-15.4702,0.945222,0.937204,1,1,0,15.5169,0.524338
-15.4654,1,0.937204,2,7,0,15.4655,0.30063
-15.4079,1,0.937204,1,1,0,15.5547,0.305841
-15.1004,1,0.937204,1,1,0,15.3453,0.341586
-14.9137,0.861351,0.937204,2,3,0,16.165,0.434969
-15.1799,0.949183,0.937204,1,3,0,15.1905,0.490882
-14.9998,1,0.937204,2,3,0,15.1395,0.460135
-15.2168,0.982479,0.937204,2,3,0,15.2193,0.49585
-15.5373,0.923166,0.937204,1,1,0,15.5667,0.53076
-15.8906,0.916248,0.937204,1,1,0,15.9833,0.559959
-15.8801,1,0.937204,2,7,0,15.8806,0.269688
-16.8911,0.621052,0.937204,1,3,0,20.0194,0.620516
-15.6456,1,0.937204,1,1,0,16.6106,0.540437
-15.6456,0.58269,0.937204,2,7,0,18.6934,0.540437
-15.5397,1,0.937204,1,1,0,15.7579,0.530983
-17.2415,0.659822,0.937204,1,1,0,17.2422,0.637415
-15.0605,0.878195,0.937204,1,3,0,18.2146,0.347955
-15.3565,0.936375,0.937204,1,1,0,15.3586,0.31079
-16.0898,0.859917,0.937204,1,1,0,16.0939,0.257002
-16.8148,0.875783,0.937204,1,1,0,16.9043,0.221761
-15.0013,0.979677,0.937204,1,3,0,16.6589,0.359012
-15.0103,0.999307,0.937204,2,3,0,15.0355,0.357155
-14.977,1,0.937204,1,1,0,15.0171,0.364377
