# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.07526
# Diagonal elements of inverse mass matrix:
# 0.176501
-15.6049,0.829275,1.07526,1,1,0,16.3032,0.289089
-16.2333,0.869688,1.07526,1,1,0,16.2926,0.249105
-15.4086,1,1.07526,1,1,0,16.0594,0.305775
-15.3031,0.870798,1.07526,2,3,0,16.6415,0.506496
-14.885,1,1.07526,1,3,0,15.2445,0.414765
-15.1247,0.94229,1.07526,1,3,0,15.1543,0.482809
-15.1247,0.611903,1.07526,1,3,0,16.7661,0.482809
-15.9526,0.703696,1.07526,2,3,0,17.3056,0.564488
-15.9735,0.994242,1.07526,1,1,0,16.267,0.565986
-15.9369,1,1.07526,2,3,0,16.2492,0.56336
-15.7348,0.744416,1.07526,2,3,0,18.291,0.547883
-15.1519,1,1.07526,2,3,0,15.5839,0.334233
-17.1473,0.799232,1.07526,2,3,0,17.3076,0.633028
-14.9809,1,1.07526,1,3,0,16.6582,0.455763
-14.9542,0.957183,1.07526,2,3,0,15.2752,0.370139
-15.0968,0.963833,1.07526,1,1,0,15.0987,0.342135
-14.9941,1,1.07526,1,1,0,15.0823,0.360532
-15.1357,0.939279,1.07526,1,3,0,15.4219,0.48449
-15.295,0.956305,1.07526,1,1,0,15.3378,0.505548
-14.8889,0.994591,1.07526,1,3,0,15.3019,0.398291
-15.012,0.96528,1.07526,1,3,0,15.0621,0.462777
-15.3808,0.901879,1.07526,1,1,0,15.3828,0.515179
-16.2431,0.639276,1.07526,2,3,0,18.279,0.584034
-14.9057,0.987703,1.07526,1,3,0,16.2817,0.38716
-14.9872,0.984819,1.07526,1,3,0,14.9872,0.362052
-14.8853,0.997408,1.07526,1,3,0,14.9935,0.415189
-14.9598,0.979231,1.07526,1,3,0,14.9866,0.368654
-14.9586,0.865051,1.07526,2,3,0,15.8477,0.450029
-15.8591,0.816095,1.07526,1,3,0,15.883,0.557605
-15.094,1,1.07526,2,3,0,15.6452,0.47793
-14.9489,0.978185,1.07526,1,3,0,15.2539,0.371625
-14.8837,0.998528,1.07526,2,3,0,14.9573,0.407204
-14.9428,0.659458,1.07526,2,3,0,17.2756,0.373388
-15.5444,0.880624,1.07526,1,3,0,15.569,0.293918
-15.4449,1,1.07526,1,1,0,15.6372,0.302455
-15.22,0.920092,1.07526,2,3,0,16.1771,0.496265
-15.362,0.960945,1.07526,1,1,0,15.4295,0.513139
-15.2878,1,1.07526,1,1,0,15.439,0.504702
-14.967,1,1.07526,1,1,0,15.1982,0.452292
-15.2423,0.925991,1.07526,1,1,0,15.2428,0.499125
-15.2423,0.699302,1.07526,1,3,0,16.5202,0.499125
-15.6739,0.806811,1.07526,1,3,0,16.68,0.283858
-14.9237,0.965682,1.07526,1,3,0,15.8445,0.438994
-15.0476,0.839753,1.07526,2,3,0,15.9041,0.350177
-14.8934,0.990688,1.07526,2,3,0,15.111,0.394466
-17.9022,0.432758,1.07526,1,3,0,18.6672,0.183293
-17.9022,0.903692,1.07526,1,1,0,18.8683,0.183293
-16.8128,1,1.07526,2,3,0,17.8787,0.221845
-14.889,0.993905,1.07526,1,3,0,16.7283,0.398194
-14.9842,0.972587,1.07526,1,3,0,15.027,0.456555
-16.6225,0.783423,1.07526,2,3,0,16.7244,0.230107
-16.365,1,1.07526,1,1,0,16.8438,0.242315
-15.4244,0.873057,1.07526,1,3,0,17.7328,0.519739
-15.585,0.76379,1.07526,2,3,0,17.2532,0.535112
-17.9866,0.742729,1.07526,2,3,0,17.9866,0.180779
-15.0557,0.983202,1.07526,1,3,0,17.615,0.348771
-15.1925,0.930894,1.07526,1,3,0,15.5992,0.492613
